lang,allergen
 fr,Coca-Cola zero sans sucre
 fr,Contient
 fr,Contient
 fr,contient une source de phénylalanine
 fr,Contient une source de phénylalanine.
 fr,contient-une-source-de-phenylalanine
 fr,Coquilles
 fr,d'acides gras saturés
 fr,da-consumarsi-preferibilmente-entro-il-vedi-vetro-rispetta-l-ambiente-il-contenitore-va-smaltito-nel-vetro
 fr,Dépôt de thé
 fr,derives-lactes
 fr,e339
 fr,en valeur Nutri Score
 fr,en valeur Nutritionnel
 fr,en valeur nutritionnelle
 fr,Erdnüsse
 fr,fibres
 fr,Fromage suisse à pâte mi-dure est par nature sans lactose
 fr,Fruits à coque sans OGM
 fr,fruits à coque soja
 fr,gingembre
 fr,gluten et leurs
 fr,Gluten et oeufs
 fr,gluten lait céleri moutarde
 fr,gluten œufs poissons soja moutarde sésame sulfite
 fr,GMO
 fr,Hühnerei Sesam Erdnüssen Lupinen Schalenfrüchten
 fr,Huile d'arachide
 fr,huile de palme
 fr,illisible
 fr,Jezgrasto voće
 fr,JORDNØDDER
 fr,Lait d'amande
 fr,lait gluten soja sulfite
 fr,néant
 fr,Nitrates
 fr,Noisette amande soya autres fruits à coque
 fr,noix noisettes
 fr,noix œufs noisettes amandes lait sésames soja
 fr,noixlait
 fr,non
 fr,Non
 fr,noyau
 fr,noyaux
 fr,Noyaux
 fr,Noyaux ou débris de noyaux
 fr,oeuf gluten lait
 fr,oeuf lait soja sesame
 fr,Oeuf-et-graines-de-sesame
 fr,œufs lait sésame
 fr,oeufs-gluten-soja-lait
 fr,pas d'information
 fr,Pas mentionné
 fr,Pépins
 fr,Petit-lait en poudre jaune d'oeuf en poudre
 fr,Petits os
 fr,Peut contenir des traces d'arachides ou de fruits à coques
 fr,Peut contenir du blé  et des fruits à coque.
 fr,peut-contenir-d-autres-fruits-a-coque-et-du-sesame
 fr,Peut-contenir-des-traces-de-lait-et-soja
 fr,Peux contenir des traces de noix et de pistaches.
 fr,phenylalanine
 fr,Phenylalanine
 fr,phénylalanine
 fr,Phénylalanine
 fr,Possibile presenza di noccioli.
 fr,préparée avec 50 g de fruits pour 100 g. Teneur totale en sucres
 fr,présure animale
 fr,Produkt kann Spuren von Milch und Schalenfrüchten enthalten.
 fr,quantites-negligeables-de-glucides
 fr,Rien
